italian,english,io,io_english,tu,tu_english,lui/lei,lui/lei_english,noi,noi_english,voi,voi_english,loro,loro_english
esaminare,to examine,sto esaminando,I am examining,stai esaminando,you are examining,sta esaminando,he/she is examining,stiamo esaminando,we are examining,state esaminando,you all are examining,stanno esaminando,they are examining
facilitare,to facilitate,sto facilitando,I am facilitating,stai facilitando,you are facilitating,sta facilitando,he/she is facilitating,stiamo facilitando,we are facilitating,state facilitando,you all are facilitating,stanno facilitando,they are facilitating
interpretare,to interpret,sto interpretando,I am interpreting,stai interpretando,you are interpreting,sta interpretando,he/she is interpreting,stiamo interpretando,we are interpreting,state interpretando,you all are interpreting,stanno interpretando,they are interpreting
elaborare,to process,sto elaborando,I am elaborating,stai elaborando,you are elaborating,sta elaborando,he/she is elaborating,stiamo elaborando,we are elaborating,state elaborando,you all are elaborating,stanno elaborando,they are elaborating
convenire,to agree / to be worthwhile,sto convenendo,I am agreeing,stai convenendo,you are agreeing,sta convenendo,he/she is agreeing,stiamo convenendo,we are agreeing,state convenendo,you all are agreeing,stanno convenendo,they are agreeing
provocare,to provoke,sto provocando,I am provoking,stai provocando,you are provoking,sta provocando,he/she is provoking,stiamo provocando,we are provoking,state provocando,you all are provoking,stanno provocando,they are provoking
togliere,to remove,sto togliendo,I am removing,stai togliendo,you are removing,sta togliendo,he/she is removing,stiamo togliendo,we are removing,state togliendo,you all are removing,stanno togliendo,they are removing
ribadire,to reiterate,sto ribadendo,I am reiterating,stai ribadendo,you are reiterating,sta ribadendo,he/she is reiterating,stiamo ribadendo,we are reiterating,state ribadendo,you all are reiterating,stanno ribadendo,they are reiterating
integrare,to integrate,sto integrando,I am integrating,stai integrando,you are integrating,sta integrando,he/she is integrating,stiamo integrando,we are integrating,state integrando,you all are integrating,stanno integrando,they are integrating
divenire,to become,sto divenendo,I am becoming,stai divenendo,you are becoming,sta divenendo,he/she is becoming,stiamo divenendo,we are becoming,state divenendo,you all are becoming,stanno divenendo,they are becoming
richiamare,to recall,sto richiamando,I am calling back,stai richiamando,you are calling back,sta richiamando,he/she is calling back,stiamo richiamando,we are calling back,state richiamando,you all are calling back,stanno richiamando,they are calling back
abbandonare,to abandon,sto abbandonando,I am abandoning,stai abbandonando,you are abandoning,sta abbandonando,he/she is abandoning,stiamo abbandonando,we are abandoning,state abbandonando,you all are abandoning,stanno abbandonando,they are abandoning
delegare,to delegate,sto delegando,I am delegating,stai delegando,you are delegating,sta delegando,he/she is delegating,stiamo delegando,we are delegating,state delegando,you all are delegating,stanno delegando,they are delegating
denominare,to name,sto denominando,I am naming,stai denominando,you are naming,sta denominando,he/she is naming,stiamo denominando,we are naming,state denominando,you all are naming,stanno denominando,they are naming
conservare,to conserve,sto conservando,I am preserving,stai conservando,you are preserving,sta conservando,he/she is preserving,stiamo conservando,we are preserving,state conservando,you all are preserving,stanno conservando,they are preserving
perseguire,to pursue,sto perseguendo,I am pursuing,stai perseguendo,you are pursuing,sta perseguendo,he/she is pursuing,stiamo perseguendo,we are pursuing,state perseguendo,you all are pursuing,stanno perseguendo,they are pursuing
contrastare,to contrast,sto contrastando,I am contrasting,stai contrastando,you are contrasting,sta contrastando,he/she is contrasting,stiamo contrastando,we are contrasting,state contrastando,you all are contrasting,stanno contrastando,they are contrasting
stipulare,to stipulate,sto stipulando,I am stipulating,stai stipulando,you are stipulating,sta stipulando,he/she is stipulating,stiamo stipulando,we are stipulating,state stipulando,you all are stipulating,stanno stipulando,they are stipulating
situare,to situate,sto situando,I am placing,stai situando,you are placing,sta situando,he/she is placing,stiamo situando,we are placing,state situando,you all are placing,stanno situando,they are placing
commettere,to commit,sto commettendo,I am committing,stai commettendo,you are committing,sta commettendo,he/she is committing,stiamo commettendo,we are committing,state commettendo,you all are committing,stanno commettendo,they are committing
giudicare,to judge,sto giudicando,I am judging,stai giudicando,you are judging,sta giudicando,he/she is judging,stiamo giudicando,we are judging,state giudicando,you all are judging,stanno giudicando,they are judging
ripetere,to repeat,sto ripetendo,I am repeating,stai ripetendo,you are repeating,sta ripetendo,he/she is repeating,stiamo ripetendo,we are repeating,state ripetendo,you all are repeating,stanno ripetendo,they are repeating
dispiacere,to be displeased / to regret,sto dispiacendo,I am being sorry,stai dispiacendo,you are being sorry,sta dispiacendo,he/she is being sorry,stiamo dispiacendo,we are being sorry,state dispiacendo,you all are being sorry,stanno dispiacendo,they are being sorry
avvalersi,to avail oneself,sto avvalendomi,I am availing myself,stai avvalendoti,you are availing yourself,sta avvalendosi,he/she is availing himself/herself,stiamo avvalendoci,we are availing ourselves,state avvalendovi,you all are availing yourselves,stanno avvalendosi,they are availing themselves
usufruire,to make use of,sto usufruendo,I am utilizing,stai usufruendo,you are utilizing,sta usufruendo,he/she is utilizing,stiamo usufruendo,we are utilizing,state usufruendo,you all are utilizing,stanno usufruendo,they are utilizing
investire,to invest / to hit,sto investendo,I am investing,stai investendo,you are investing,sta investendo,he/she is investing,stiamo investendo,we are investing,state investendo,you all are investing,stanno investendo,they are investing
guidare,to drive / to guide,sto guidando,I am driving,stai guidando,you are driving,sta guidando,he/she is driving,stiamo guidando,we are driving,state guidando,you all are driving,stanno guidando,they are driving
completare,to complete,sto completando,I am completing,stai completando,you are completing,sta completando,he/she is completing,stiamo completando,we are completing,state completando,you all are completing,stanno completando,they are completing
sfruttare,to exploit,sto sfruttando,I am exploiting,stai sfruttando,you are exploiting,sta sfruttando,he/she is exploiting,stiamo sfruttando,we are exploiting,state sfruttando,you all are exploiting,stanno sfruttando,they are exploiting
insegnare,to teach,sto insegnando,I am teaching,stai insegnando,you are teaching,sta insegnando,he/she is teaching,stiamo insegnando,we are teaching,state insegnando,you all are teaching,stanno insegnando,they are teaching
incaricare,to charge / to task,sto incaricando,I am assigning,stai incaricando,you are assigning,sta incaricando,he/she is assigning,stiamo incaricando,we are assigning,state incaricando,you all are assigning,stanno incaricando,they are assigning
redigere,to draft,sto redigendo,I am drafting,stai redigendo,you are drafting,sta redigendo,he/she is drafting,stiamo redigendo,we are drafting,state redigendo,you all are drafting,stanno redigendo,they are drafting
implicare,to imply,sto implicando,I am implying,stai implicando,you are implying,sta implicando,he/she is implying,stiamo implicando,we are implying,state implicando,you all are implying,stanno implicando,they are implying
suonare,to play (an instrument) / to ring,sto suonando,I am playing,stai suonando,you are playing,sta suonando,he/she is playing,stiamo suonando,we are playing,state suonando,you all are playing,stanno suonando,they are playing
finanziare,to finance,sto finanziando,I am financing,stai finanziando,you are financing,sta finanziando,he/she is financing,stiamo finanziando,we are financing,state finanziando,you all are financing,stanno finanziando,they are financing
identificare,to identify,sto identificando,I am identifying,stai identificando,you are identifying,sta identificando,he/she is identifying,stiamo identificando,we are identifying,state identificando,you all are identifying,stanno identificando,they are identifying
associare,to associate,sto associando,I am associating,stai associando,you are associating,sta associando,he/she is associating,stiamo associando,we are associating,state associando,you all are associating,stanno associando,they are associating
emanare,to emanate / to issue,sto emanando,I am issuing,stai emanando,you are issuing,sta emanando,he/she is issuing,stiamo emanando,we are issuing,state emanando,you all are issuing,stanno emanando,they are issuing
impostare,to set up / to configure,sto impostando,I am setting,stai impostando,you are setting,sta impostando,he/she is setting,stiamo impostando,we are setting,state impostando,you all are setting,stanno impostando,they are setting
rivedere,to review / to see again,sto rivedendo,I am reviewing,stai rivedendo,you are reviewing,sta rivedendo,he/she is reviewing,stiamo rivedendo,we are reviewing,state rivedendo,you all are reviewing,stanno rivedendo,they are reviewing
accertare,to ascertain,sto accertando,I am verifying,stai accertando,you are verifying,sta accertando,he/she is verifying,stiamo accertando,we are verifying,state accertando,you all are verifying,stanno accertando,they are verifying
apportare,to bring (changes),sto apportando,I am making,stai apportando,you are making,sta apportando,he/she is making,stiamo apportando,we are making,state apportando,you all are making,stanno apportando,they are making
informare,to inform,sto informando,I am informing,stai informando,you are informing,sta informando,he/she is informing,stiamo informando,we are informing,state informando,you all are informing,stanno informando,they are informing
